,Player,Matches,Runs,Bat_ave,Wkts,Bowl_ave
348,DG Blampied (JER),17,221,24.55,24,16.45
349,TC Bruce (NZ),17,279,18.6,0,0.0
350,K Doriga (PNG),17,106,10.6,0,0.0
351,JSE Dunford (JER),17,54,9.0,0,0.0
352,Ghulam Shabber (UAE),17,208,18.9,0,0.0
353,Haroon Arshad (HKG),17,289,26.27,12,18.58
354,HMRKB Herath (SL),17,8,0.0,0,0.0
355,JO Holder (WI),17,111,12.33,13,40.3
356,JW Jenner (JER),17,365,24.33,0,0.0
357,AV Lalcheta (OMA),17,101,12.62,8,46.75
358,JB Little (IRE),17,23,0.0,0,0.0
359,GD Phillips (NZ),17,324,24.92,0,0.0
360,D Ravu (PNG),17,10,0.0,0,0.0
361,PADLR Sandakan (SL),17,20,6.66,17,28.81
362,Shafiul Islam (BAN),17,6,0.0,0,0.0
363,BDH Stevens (JER),17,316,19.75,12,20.75
364,Sultan Ahmed (OMA),17,104,11.55,0,0.0
365,SN Thakur (IND),17,59,59.0,23,22.73
366,JC Tredwell (ENG),17,32,10.66,7,59.4
367,LJ Tucker (IRE),17,130,10.0,0,0.0
368,S Vesawkar (NEP),17,310,23.84,0,0.0
369,HR Walsh (USA/WI),17,128,16.0,11,29.1
370,RG Aga (KENYA),16,162,12.46,12,18.58
371,FA Allen (WI),16,112,12.44,12,25.4
372,N Davin (NAM),16,335,22.33,0,0.0
373,DM de Silva (SL),16,331,22.06,5,25.6
374,GD Elliott (NZ/World),16,148,13.45,13,17.23
375,MG Erasmus (NAM),16,407,37.0,12,14.25
376,ZE Green (NAM),16,79,9.87,0,0.0
377,AW Hawkins-Kay (JER),16,122,15.25,14,19.0
378,TM Head (AUS),16,319,26.58,1,39.0
379,Izatullah Dawlatzai (AFG/GER),16,26,26.0,18,21.22
380,EC Joyce (IRE),16,404,36.72,0,0.0
381,IA Karim (KENYA),16,286,22.0,0,0.0
382,C Kieswetter (ENG),16,282,18.8,0,0.0
383,SC Kuggeleijn (NZ),16,79,19.75,13,33.38
384,Mohammad Boota (UAE),16,112,14.0,1,13.0
385,Mohammad Nawaz (3) (PAK),16,13,0.0,0,0.0
386,L Ngidi (SA),16,7,0.0,0,0.0
387,AM Phangiso (SA),16,19,6.33,20,22.16
388,Rizwan Cheema (CAN),16,179,11.93,5,40.0
389,Suraj Kumar (OMA),16,105,13.12,0,0.0
390,Tamoor Sajjad (QAT),16,380,34.53,18,22.11
391,Usman Shinwari (PAK),16,2,0.0,0,0.0
392,Waqas Khan (HKG),16,164,16.4,0,0.0
393,Anwar Ali (PAK),15,109,15.57,10,34.8
394,J Botha (SA),15,87,17.4,11,26.62
395,S Chandramohan (SGP),15,436,31.14,0,0.0
396,Faisal Javed (QAT),15,330,22.0,0,0.0
397,WIA Fernando (SL),15,195,13.92,0,0.0
398,SC Getkate (IRE),15,92,8.36,8,40.38
399,Hamza Tariq (CAN),15,100,10.0,0,0.0
400,Hazratullah Zazai (AFG),15,570,40.72,0,0.0
401,RM Hira (NZ),15,37,18.5,10,33.7
402,Hussain Talat (PAK),15,371,28.53,4,13.5
403,Janak Prakash (SGP),15,118,14.75,17,21.3
404,N Madziva (ZIM),15,88,17.6,12,34.75
405,Manpreet Singh (SGP),15,312,26.0,0,0.0
406,MR Marsh (AUS),15,258,23.45,7,22.7
407,Mohammad Mithun (BAN),15,122,12.2,0,0.0
408,Mohammad Saifuddin (BAN),15,108,18.0,14,31.06
409,Muhammad Kashif (KUW),15,248,31.0,12,19.66
410,CT Mutombodzi (ZIM),15,134,12.18,7,26.84
411,NM Odhiambo (KENYA),15,61,10.16,9,31.77
412,NN Odhiambo (KENYA),15,127,10.58,7,47.0
413,CW Perchard (JER),15,28,9.33,20,13.75
414,RJ Peterson (SA),15,81,16.2,16,20.56
415,R Rampaul (WI),15,1,0.0,0,0.0
416,RR Rossouw (SA),15,327,29.72,0,0.0
417,R Sandaruwan (KUW),15,577,44.38,0,0.0
418,Sandeep Goud (OMA),15,89,17.8,2,24.0
419,Sharjeel Khan (PAK),15,360,24.0,0,0.0
420,O Thomas (WI),15,8,4.0,18,24.72
421,HA Varaiya (KENYA),15,37,37.0,13,21.77
422,Waheed Ahmed (UAE),15,141,20.14,11,23.36
423,Aarif Sheikh (NEP),14,209,20.9,0,0.0
424,KK Ahmed (IND),14,1,0.0,0,0.0
425,Amjad Mahboob (SGP),14,3,0.75,22,16.5
426,C Bisson (JER),14,226,18.83,0,0.0
427,JW Chilia (VAN),14,54,18.0,6,52.5
428,TS Chisoro (ZIM),14,43,10.75,12,30.66
429,TH David (SGP),14,558,46.5,5,51.0
430,Fareed Ahmad (AFG),14,24,0.0,0,0.0
431,Fayyaz Butt (OMA),14,57,28.5,10,31.3
432,N Pradeep (SL),14,10,10.0,15,27.12
433,NJ Ferraby (JER),14,303,23.3,0,0.0
434,JN Frylinck (NAM),14,49,16.33,21,11.42
435,G Gambhir (IND),14,311,25.9,0,0.0
436,Hamid Hassan (AFG),14,17,0.0,0,0.0
437,Haris Sohail (PAK),14,210,19.1,0,0.0
438,BE Hendricks (SA),14,18,6.0,20,22.55
439,Ibrahim Hassan (MDV),14,42,6.0,14,25.7
440,DT Johnston (IRE),14,160,53.34,12,25.08
441,A Mansale (VAN),14,159,11.35,13,13.53
442,EJB Miles (JER),14,28,14.0,17,15.64
443,Mohamed Rishwan (MDV),14,327,25.16,0,0.0
444,JF Mooney (IRE),14,91,15.16,10,16.0
445,Mosaddek Hossain (BAN),14,183,20.33,5,32.0
446,TJ Murtagh (IRE),14,26,13.0,13,24.92
447,N Nipiko (VAN),14,312,26.0,24,12.95
448,Nouman Sarwar (QAT),14,172,57.34,18,14.83
449,NJ O'Brien (IRE),14,206,17.16,0,0.0
450,T Panyangara (ZIM),14,23,23.0,20,19.9
451,BM Scholtz (NAM),14,5,5.0,22,12.95
452,R Tari (VAN),14,137,15.22,0,0.0
453,Umar Adam (MDV),14,198,16.5,14,19.34
454,Umar Amin (PAK),14,142,15.77,0,0.0
455,J Vira (VAN),14,74,9.25,0,0.0
456,Ziaur Rahman (BAN),14,117,13.0,3,42.34
457,Abu Hider (BAN),13,58,58.0,6,55.0
458,Ameel Mauroof (MDV),13,49,9.8,7,38.56
459,Anamul Haque (BAN),13,355,32.28,0,0.0
460,SJ Baard (NAM),13,387,35.2,0,0.0
461,V Baskaran (SGP),13,18,9.0,7,36.84
462,DL Chahar (IND),13,1,0.0,0,0.0
463,DT Christian (AUS),13,23,0.0,0,0.0
464,S Dube (IND),13,105,17.5,5,43.2
465,RM Haq (SCOT),13,10,10.0,22,13.27
466,PW Hasaranga (SL),13,123,17.56,16,18.38
467,MC Henriques (AUS),13,219,36.5,7,27.0
468,GB Hogg (AUS),13,14,0.0,0,0.0
469,SD Hope (WI),13,238,21.62,0,0.0
470,DJ Hussey (AUS),13,170,14.16,4,31.25
471,Junaid Siddiqui (CAN),13,49,12.25,10,26.6
472,Junaid Siddique (UAE),13,5,0.0,0,0.0
473,H Klaasen (SA),13,271,24.62,0,0.0
474,TWM Latham (NZ),13,163,16.3,0,0.0
475,RE Levi (SA),13,236,21.45,0,0.0
476,MW Machan (SCOT),13,407,40.7,5,31.2
477,WP Masakadza (ZIM),13,36,9.0,13,25.45
478,Mehidy Hasan Miraz (BAN),13,94,10.44,4,82.5
479,EMDY Munaweera (SL),13,215,17.9,1,92.0
480,Naseem Khushi (OMA),13,119,17.0,0,0.0
481,Nazmul Islam (BAN),13,18,0.0,0,0.0
482,Noor Ali Zadran (AFG),13,307,25.58,0,0.0
483,AR Nurse (WI),13,85,42.5,8,39.75
484,J Rasu (VAN),13,374,28.77,5,8.8
485,R Rohan (SGP),13,209,17.4,0,0.0
486,S Snater (NED),13,18,3.6,13,25.92
487,CA Soper (PNG),13,37,18.5,14,10.92
488,JE Taylor (WI),13,71,14.2,10,39.0
489,RN ten Doeschate (NED),13,319,45.56,1,4.0
490,DT Tiripano (ZIM),13,92,13.14,11,32.0
491,B Ward (JER),13,215,23.88,10,24.9
492,CG Williams (NAM),13,249,27.66,9,15.77
493,Adnan Ilyas (OMA),12,258,23.45,0,0.0
494,Afif Hossain (BAN),12,113,12.55,6,20.16
